segundo,estado_sistema,vel_media,vel_min,vel_max,v_diff,densidad_veh_km,flujo_veh_h,eficiencia_pct,coches_parados,coches_acelerando,coches_decelerando,coches_constante,gap_min,gap_medio,gap_max,energia_disipada_acum,tiempo_perdido_acum,vel_onda_kmh,max_parados,max_v_diff
1,EQUILIBRIO,22.11,22.11,22.11,0.0,11.94,950.0,104.0,0,30,0,0,78.78,78.78,78.78,0.0,0,0,0,0.0
2,EQUILIBRIO,22.74,22.74,22.74,0.0,11.94,977.0,107.0,0,30,0,0,78.78,78.78,78.78,0.0,0,0,0,0.0
3,EQUILIBRIO,23.2,23.2,23.2,0.0,11.94,997.0,109.2,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
4,EQUILIBRIO,23.53,23.53,23.53,0.0,11.94,1011.0,110.7,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
5,EQUILIBRIO,23.75,23.75,23.75,0.0,11.94,1021.0,111.8,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
6,EQUILIBRIO,23.91,23.91,23.91,0.0,11.94,1028.0,112.5,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
7,EQUILIBRIO,24.02,24.02,24.02,0.0,11.94,1032.0,113.0,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
8,EQUILIBRIO,24.09,24.09,24.09,0.0,11.94,1035.0,113.4,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
9,EQUILIBRIO,24.14,24.14,24.14,0.0,11.94,1037.0,113.6,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
10,EQUILIBRIO,24.18,24.18,24.18,0.0,11.94,1039.0,113.8,0,0,0,30,78.78,78.78,78.78,0.0,0,0,0,0.0
11,FRENADA_ORIGEN,23.85,14.18,24.2,10.02,11.94,1025.0,112.2,0,0,2,28,73.43,78.78,84.29,16.6,0,0,0,10.02
12,FRENADA_ORIGEN,23.46,4.18,24.21,20.04,11.94,1008.0,110.4,0,0,2,28,59.36,78.78,99.82,28.1,0,-0.0,0,20.04
13,FRENADA_ORIGEN,23.17,0.0,24.22,24.22,11.94,996.0,109.0,1,0,2,27,40.67,78.78,123.39,37.3,0,-0.0,1,24.22
14,FRENADA_ORIGEN,23.0,0.0,24.23,24.23,11.94,988.0,108.2,1,0,2,27,25.68,78.78,147.62,45.7,0,-0.0,1,24.23
15,FRENADA_ORIGEN,22.81,0.0,24.24,24.24,11.94,980.0,107.3,1,0,2,27,14.83,78.78,171.85,54.1,0,-14.3,1,24.24
16,DISOLVIENDO,22.7,2.5,24.24,21.74,11.94,976.0,106.8,0,1,2,27,8.96,78.78,194.71,61.9,0,-8.4,1,24.24
17,DISOLVIENDO,22.63,5.0,24.24,19.24,11.94,972.0,106.5,0,1,2,27,7.47,78.78,215.08,69.0,0,-6.4,1,24.24
18,DISOLVIENDO,22.59,5.55,24.24,18.69,11.94,971.0,106.3,0,2,2,26,8.61,78.78,232.96,75.5,0,-6.1,1,24.24
19,DISOLVIENDO,22.59,6.95,24.24,17.3,11.94,971.0,106.3,0,2,2,26,11.19,78.78,248.35,81.3,0,-6.5,1,24.24
20,DISOLVIENDO,22.63,8.77,24.24,15.48,11.94,972.0,106.5,0,2,1,27,13.2,78.78,261.32,86.3,0,-7.0,1,24.24
21,DISOLVIENDO,22.7,9.94,24.25,14.3,11.94,975.0,106.8,0,3,2,25,13.29,78.78,271.94,90.8,0,-13.6,1,24.24
22,DISOLVIENDO,22.79,10.87,24.25,13.37,11.94,979.0,107.3,0,3,2,25,14.77,78.78,280.36,94.8,0,0,1,24.24
23,DISOLVIENDO,22.9,12.23,24.25,12.02,11.94,984.0,107.8,0,3,1,26,17.09,78.78,286.79,98.0,0,0,1,24.24
24,DISOLVIENDO,23.03,13.77,24.25,10.47,11.94,989.0,108.4,0,3,1,26,19.8,78.78,291.5,100.5,0,0,1,24.24
25,DISOLVIENDO,23.15,14.7,24.25,9.55,11.94,995.0,108.9,0,4,1,25,19.96,78.78,294.78,102.8,0,0,1,24.24
26,DISOLVIENDO,23.27,15.46,24.25,8.78,11.94,1000.0,109.5,0,4,0,26,21.03,78.78,296.94,104.7,0,0,1,24.24
27,DISOLVIENDO,23.38,16.41,24.25,7.84,11.94,1005.0,110.0,0,4,0,26,22.62,78.78,298.25,106.1,0,0,1,24.24
28,DISOLVIENDO,23.48,17.39,24.25,6.85,11.94,1009.0,110.5,0,3,0,27,24.44,78.78,298.94,107.1,0,0,1,24.24
29,DISOLVIENDO,23.56,18.32,24.25,5.92,11.94,1013.0,110.9,0,3,0,27,26.3,78.78,299.18,108.0,0,0,1,24.24
30,DISOLVIENDO,23.64,18.92,24.41,5.49,11.94,1016.0,111.2,0,2,0,28,28.09,78.78,299.13,108.8,0,0,1,24.24
31,DISOLVIENDO,23.7,19.29,24.58,5.29,11.94,1018.0,111.5,0,1,0,29,28.91,78.78,298.86,109.5,0,0,1,24.24
32,DISOLVIENDO,23.75,19.69,24.7,5.02,11.94,1020.0,111.7,0,1,0,29,29.57,78.78,298.46,110.0,0,0,1,24.24
33,DISOLVIENDO,23.79,20.06,24.78,4.72,11.94,1022.0,111.9,0,0,0,30,30.34,78.78,297.95,110.4,0,0,1,24.24
34,DISOLVIENDO,23.82,20.4,24.83,4.43,11.94,1024.0,112.1,0,0,0,30,31.16,78.78,297.39,110.7,0,0,1,24.24
35,DISOLVIENDO,23.85,20.7,24.87,4.17,11.94,1025.0,112.2,0,0,0,30,31.97,78.78,296.78,111.0,0,0,1,24.24
36,DISOLVIENDO,23.87,20.96,24.89,3.93,11.94,1026.0,112.3,0,0,0,30,32.76,78.78,296.15,111.3,0,0,1,24.24
37,DISOLVIENDO,23.88,21.18,24.91,3.73,11.94,1026.0,112.4,0,0,0,30,33.53,78.78,295.49,111.6,0,0,1,24.24
38,DISOLVIENDO,23.9,21.37,24.92,3.55,11.94,1027.0,112.5,0,0,0,30,34.25,78.78,294.83,111.9,0,0,1,24.24
39,DISOLVIENDO,23.91,21.53,24.92,3.39,11.94,1028.0,112.5,0,0,0,30,34.95,78.78,294.15,112.1,0,0,1,24.24
40,DISOLVIENDO,23.92,21.67,24.93,3.26,11.94,1028.0,112.6,0,0,0,30,35.62,78.78,293.48,112.4,0,0,1,24.24
41,DISOLVIENDO,23.93,21.73,24.93,3.2,11.94,1028.0,112.6,0,0,0,30,36.25,78.78,292.79,112.6,0,0,1,24.24
42,DISOLVIENDO,23.94,21.78,24.93,3.15,11.94,1029.0,112.7,0,0,0,30,36.87,78.78,292.11,112.9,0,0,1,24.24
43,DISOLVIENDO,23.95,21.84,24.93,3.09,11.94,1029.0,112.7,0,0,0,30,37.46,78.78,291.42,113.1,0,0,1,24.24
